rate,group,model,auc_mean,auc_std,pe_mean,pe_std
0.05,all,ensemble,0.577773,0.007343,0.431,0.008112
0.05,spatial,ensemble,0.566654,0.00456,0.4374,0.004104
0.05,color,ensemble,0.594755,0.006946,0.416,0.008944
0.1,all,ensemble,0.668243,0.015732,0.3682,0.013869
0.1,spatial,ensemble,0.653293,0.010483,0.3752,0.010167
0.1,color,ensemble,0.695243,0.01219,0.3458,0.011539
0.25,all,ensemble,0.854722,0.019095,0.2168,0.020615
0.25,spatial,ensemble,0.850421,0.014033,0.2096,0.016895
0.25,color,ensemble,0.881154,0.015897,0.191,0.018873
0.5,all,ensemble,0.964296,0.008069,0.0896,0.012924
0.5,spatial,ensemble,0.970432,0.005847,0.0716,0.008845
0.5,color,ensemble,0.969517,0.006342,0.0832,0.009347
1.0,all,ensemble,0.997362,0.000932,0.0196,0.006248
1.0,spatial,ensemble,0.996624,0.001625,0.0214,0.005731
1.0,color,ensemble,0.996405,0.001899,0.0266,0.009468
