method,rate,eval_set,n_cover,n_stego,auc,pe,auc_r,auc_g,auc_b,mean_phat_stego,std_phat_stego,bias,mae,mean_phat_cover
lsbr,0.05,test250,250,250,0.756,0.212,0.679456,0.73888,0.687536,0.128578,0.289228,0.084307,0.097162,0.083419
lsbr,0.05,all500,500,500,0.744512,0.236,0.67166,0.73304,0.6822,0.139027,0.345277,0.094756,0.111251,0.095103
lsbr,0.1,test250,250,250,0.839632,0.134,0.787184,0.84632,0.776928,0.16924,0.276759,0.080698,0.094107,0.083419
lsbr,0.1,all500,500,500,0.835644,0.139,0.779568,0.836036,0.77026,0.177839,0.328239,0.089297,0.105436,0.095103
lsbr,0.25,test250,250,250,0.91344,0.07,0.917168,0.931024,0.871936,0.294988,0.238034,0.073634,0.086081,0.083419
lsbr,0.25,all500,500,500,0.913716,0.076,0.908592,0.928896,0.878972,0.301685,0.277854,0.080331,0.096779,0.095103
lsbr,0.5,test250,250,250,0.94136,0.04,0.949072,0.966784,0.93584,0.435906,0.5783,-0.006803,0.13124,0.083419
lsbr,0.5,all500,500,500,0.941084,0.041,0.948708,0.9619,0.936664,0.481899,0.597379,0.039191,0.129308,0.095103
lsbr,1.0,test250,250,250,0.969104,0.02,0.971648,0.995808,0.960896,0.882088,0.195932,-0.003329,0.07578,0.083419
lsbr,1.0,all500,500,500,0.95812,0.029,0.965424,0.984008,0.958096,0.960429,2.045629,0.075013,0.181183,0.095103
hill,0.05,test250,250,250,0.497536,0.486,0.50016,0.501112,0.495616,0.082768,0.281077,0.038497,0.107502,0.083419
hill,0.05,all500,500,500,0.495256,0.485,0.500616,0.497662,0.497468,0.094538,0.353563,0.050267,0.122146,0.095103
hill,0.1,test250,250,250,0.502768,0.478,0.504208,0.498928,0.501472,0.084725,0.282579,-0.003817,0.133231,0.083419
hill,0.1,all500,500,500,0.501056,0.486,0.501392,0.497608,0.504028,0.095184,0.3496,0.006643,0.147312,0.095103
hill,0.25,test250,250,250,0.497968,0.484,0.501424,0.486096,0.512096,0.080915,0.272733,-0.140439,0.229665,0.083419
hill,0.25,all500,500,500,0.496256,0.485,0.498104,0.494656,0.505384,0.091885,0.341227,-0.129469,0.244237,0.095103
hill,0.5,test250,250,250,0.487296,0.47,0.486224,0.497792,0.495632,0.078801,0.284735,-0.363908,0.428283,0.083419
hill,0.5,all500,500,500,0.495496,0.485,0.493512,0.500224,0.500256,0.08935,0.334567,-0.353358,0.437423,0.095103
hill,1.0,test250,250,250,0.493424,0.474,0.494736,0.472544,0.502656,0.075875,0.245028,-0.809542,0.831477,0.083419
hill,1.0,all500,500,500,0.488068,0.474,0.504912,0.48,0.501164,0.080138,0.287011,-0.805279,0.841146,0.095103
lsbm,0.05,test250,250,250,0.499568,0.484,0.497536,0.499392,0.500144,0.083228,0.291874,0.038957,0.10866,0.083419
lsbm,0.05,all500,500,500,0.499788,0.489,0.498948,0.501258,0.498872,0.093221,0.346188,0.04895,0.120687,0.095103
lsbm,0.1,test250,250,250,0.489984,0.466,0.484112,0.510864,0.499808,0.081325,0.281138,-0.007217,0.131395,0.083419
lsbm,0.1,all500,500,500,0.491968,0.478,0.491436,0.500372,0.498144,0.088829,0.325665,0.000287,0.143237,0.095103
lsbm,0.25,test250,250,250,0.495072,0.476,0.502352,0.493408,0.49776,0.076653,0.251544,-0.144702,0.222439,0.083419
lsbm,0.25,all500,500,500,0.500624,0.481,0.50482,0.49734,0.503904,0.083285,0.289995,-0.138069,0.233089,0.095103
lsbm,0.5,test250,250,250,0.502992,0.472,0.50472,0.487328,0.517808,0.068284,0.197225,-0.374424,0.40794,0.083419
lsbm,0.5,all500,500,500,0.499716,0.477,0.507876,0.485808,0.516004,0.072037,0.227174,-0.370672,0.414536,0.095103
lsbm,1.0,test250,250,250,0.471024,0.466,0.466496,0.511952,0.482048,0.043818,0.147545,-0.841599,0.847352,0.083419
lsbm,1.0,all500,500,500,0.49354,0.478,0.484204,0.49569,0.513888,0.043369,0.138227,-0.842047,0.844924,0.095103
