config,rate,eval_set,n_cover,n_stego,auc,pe
lsbr,0.05,test250,250,250,0.7024,0.286
lsbr,0.1,test250,250,250,0.8412,0.172
lsbr,0.25,test250,250,250,0.927472,0.06
lsbr,0.5,test250,250,250,0.977408,0.022
lsbr,1.0,test250,250,250,0.988592,0.018
lsbm,0.05,test250,250,250,0.504288,0.48
lsbm,0.1,test250,250,250,0.509792,0.476
lsbm,0.25,test250,250,250,0.511552,0.468
lsbm,0.5,test250,250,250,0.525856,0.454
lsbm,1.0,test250,250,250,0.519776,0.46
hill,0.05,test250,250,250,0.501696,0.484
hill,0.1,test250,250,250,0.504288,0.478
hill,0.25,test250,250,250,0.514544,0.464
hill,0.5,test250,250,250,0.514176,0.474
hill,1.0,test250,250,250,0.517472,0.472
