config,rate,n,roundtrip_fail_frac,psnr_global_rgb_mean,psnr_global_rgb_std,psnr_region_rgb_mean,ssim_global_chan_mean,mse_global_rgb_mean,changed_frac_mean
lsbr,0.05,500,,64.680319,0.047201,52.805384,0.999872,0.022135,0.064943
lsbr,0.1,500,,61.670306,0.031553,52.70758,0.999743,0.044265,0.126981
lsbr,0.25,500,,57.689332,0.021896,52.412623,0.999356,0.110701,0.296711
lsbr,0.5,500,,54.68,0.015402,51.90563,0.998707,0.221352,0.527917
lsbr,1.0,500,,51.670093,0.010124,50.844108,0.997397,0.442662,0.826803
lsbm,0.05,500,,64.680319,0.047201,52.805384,0.999872,0.022135,0.064943
lsbm,0.1,500,,61.670306,0.031553,52.70758,0.999743,0.044265,0.126981
lsbm,0.25,500,,57.689332,0.021896,52.412623,0.999354,0.110701,0.296711
lsbm,0.5,500,,54.68,0.015402,51.90563,0.998702,0.221352,0.527917
lsbm,1.0,500,,51.670093,0.010124,50.844108,0.997377,0.442662,0.826803
hill,0.05,500,,70.975579,0.636767,52.79545,0.999981,0.005255,0.015324
hill,0.1,500,,67.489132,0.614438,52.731966,0.999955,0.011718,0.033644
hill,0.25,500,,62.76082,0.538863,52.57312,0.999857,0.034718,0.096071
hill,0.5,500,,59.013243,0.502748,52.324115,0.999635,0.082203,0.214755
hill,1.0,500,,54.946489,0.446326,51.765308,0.998967,0.209366,0.481163
