config,rate,model,n_splits,auc_mean,auc_std,pe_mean,pe_std
baseline,0.05,ensemble,10,0.577773,0.007343,0.431,0.008112
baseline,0.05,svm,10,0.618966,0.009322,0.397,0.007603
baseline,0.1,ensemble,10,0.668243,0.015732,0.3682,0.013869
baseline,0.1,svm,10,0.746005,0.013576,0.3032,0.010852
baseline,0.25,ensemble,10,0.854722,0.019095,0.2168,0.020615
baseline,0.25,svm,10,0.923128,0.014407,0.1316,0.012831
baseline,0.5,ensemble,10,0.964296,0.008069,0.0896,0.012924
baseline,0.5,svm,10,0.979115,0.006731,0.0506,0.009124
baseline,1.0,ensemble,10,0.997362,0.000932,0.0196,0.006248
baseline,1.0,svm,10,0.996235,0.002099,0.0124,0.005643
p1,0.05,ensemble,10,0.596474,0.005971,0.424,0.005727
p1,0.05,svm,10,0.606261,0.007735,0.4122,0.00525
p1,0.1,ensemble,10,0.675949,0.010715,0.3704,0.007579
p1,0.1,svm,10,0.687024,0.007828,0.3492,0.006823
p1,0.25,ensemble,10,0.81993,0.013681,0.2586,0.012651
p1,0.25,svm,10,0.820778,0.014007,0.2446,0.011901
p1,0.5,ensemble,10,0.921256,0.010592,0.151,0.01645
p1,0.5,svm,10,0.934741,0.01115,0.1194,0.012963
p1,1.0,ensemble,10,0.997339,0.000917,0.0186,0.005869
p1,1.0,svm,10,0.996062,0.002301,0.0126,0.003904
p2,0.05,ensemble,10,0.599755,0.007841,0.4148,0.005879
p2,0.05,svm,10,0.644002,0.009078,0.3792,0.008352
p2,0.1,ensemble,10,0.700834,0.013428,0.3424,0.011517
p2,0.1,svm,10,0.767518,0.013955,0.2774,0.007432
p2,0.25,ensemble,10,0.872318,0.01456,0.2016,0.02174
p2,0.25,svm,10,0.928723,0.011135,0.1186,0.012745
p2,0.5,ensemble,10,0.96677,0.006466,0.0886,0.011968
p2,0.5,svm,10,0.981675,0.006629,0.0464,0.005352
p2,1.0,ensemble,10,0.998466,0.000761,0.0132,0.004308
p2,1.0,svm,10,0.997667,0.00207,0.0104,0.003666
p3,0.05,ensemble,10,0.558926,0.005961,0.4484,0.006053
p3,0.05,svm,10,0.572354,0.005232,0.4346,0.004652
p3,0.1,ensemble,10,0.622155,0.01166,0.4052,0.009304
p3,0.1,svm,10,0.63843,0.010513,0.3892,0.009642
p3,0.25,ensemble,10,0.761947,0.015676,0.3064,0.014935
p3,0.25,svm,10,0.766491,0.014005,0.2882,0.012568
p3,0.5,ensemble,10,0.868893,0.013709,0.2114,0.015698
p3,0.5,svm,10,0.85997,0.013358,0.211,0.015981
p3,1.0,ensemble,10,0.945962,0.008092,0.1238,0.014323
p3,1.0,svm,10,0.944731,0.006725,0.1216,0.010911
all,0.05,ensemble,10,0.629886,0.006914,0.4002,0.005618
all,0.05,svm,10,0.646019,0.006453,0.3822,0.006539
all,0.1,ensemble,10,0.728898,0.011462,0.3252,0.011805
all,0.1,svm,10,0.735544,0.011778,0.3166,0.0102
all,0.25,ensemble,10,0.864966,0.013104,0.215,0.014206
all,0.25,svm,10,0.858512,0.012099,0.2124,0.014637
all,0.5,ensemble,10,0.930997,0.010701,0.148,0.015205
all,0.5,svm,10,0.931752,0.00855,0.1356,0.011993
all,1.0,ensemble,10,0.97257,0.005996,0.0856,0.012419
all,1.0,svm,10,0.971496,0.004583,0.0818,0.00961
