statistic,alpha,target,auc,auc_oriented
residual_sign_asymmetry,1.0,plus1,0.4994,0.5006
residual_sign_asymmetry,1.0,lsbm,0.4869,0.5131
residual_sign_asymmetry,1.0,lsbr,0.4863,0.5137
hist_updown,1.0,plus1,0.6017,0.6017
hist_updown,1.0,lsbm,0.5871,0.5871
hist_updown,1.0,lsbr,0.5967,0.5967
odd_even_step,1.0,plus1,0.5335,0.5335
odd_even_step,1.0,lsbm,0.5774,0.5774
odd_even_step,1.0,lsbr,0.9535,0.9535
spa_trace_imbalance,1.0,plus1,0.54,0.54
spa_trace_imbalance,1.0,lsbm,0.5233,0.5233
spa_trace_imbalance,1.0,lsbr,0.0181,0.9819
residual_sign_asymmetry,0.5,plus1,0.4409,0.5591
residual_sign_asymmetry,0.5,lsbm,0.4993,0.5007
residual_sign_asymmetry,0.5,lsbr,0.4966,0.5034
hist_updown,0.5,plus1,0.6067,0.6067
hist_updown,0.5,lsbm,0.5812,0.5812
hist_updown,0.5,lsbr,0.5859,0.5859
odd_even_step,0.5,plus1,0.5314,0.5314
odd_even_step,0.5,lsbm,0.546,0.546
odd_even_step,0.5,lsbr,0.9154,0.9154
spa_trace_imbalance,0.5,plus1,0.4979,0.5021
spa_trace_imbalance,0.5,lsbm,0.493,0.507
spa_trace_imbalance,0.5,lsbr,0.0415,0.9585
